est,err,est_card,true_card,query_dur_ms
origin-forest_43.843,1.0,1,1,28.99909019470215
origin-forest_43.843,1.0,1,1,10.998725891113281
origin-forest_43.843,62.0,1,62,9.999990463256836
origin-forest_43.843,18.5,111,6,10.001659393310547
origin-forest_43.843,1.0,1,1,10.004281997680664
origin-forest_43.843,8.0,1,8,10.088920593261719
origin-forest_43.843,2.2857142857142856,80,35,8.999347686767578
origin-forest_43.843,1.344611528822055,3219,2394,9.965181350708008
origin-forest_43.843,1.0,1,1,11.996746063232422
origin-forest_43.843,1.0,1,1,11.000394821166992
origin-forest_43.843,1.5891472868217054,129,205,9.999752044677734
origin-forest_43.843,30.0,5,150,11.004447937011719
origin-forest_43.843,27.242424242424242,33,899,11.194705963134766
origin-forest_43.843,1.1035087719298247,629,570,9.998321533203125
origin-forest_43.843,2.289134438305709,543,1243,9.998321533203125
origin-forest_43.843,1.1111111111111112,10,9,10.999202728271484
origin-forest_43.843,1.0,1,1,10.996818542480469
origin-forest_43.843,1.3616926503340758,2245,3057,10.00213623046875
origin-forest_43.843,1.0,1,1,11.002302169799805
origin-forest_43.843,1.1238018363434568,11138,9911,10.000228881835938
origin-forest_43.843,1.3026260942059191,9375,7197,10.516643524169922
origin-forest_43.843,1.0,1,1,10.001182556152344
origin-forest_43.843,1.0,1,1,9.000301361083984
origin-forest_43.843,1.25,4,5,9.995460510253906
origin-forest_43.843,1.1333333333333333,34,30,9.000301361083984
origin-forest_43.843,1.0,1,1,9.998083114624023
origin-forest_43.843,1.0,1,1,9.997844696044922
origin-forest_43.843,1.0,1,1,9.001016616821289
origin-forest_43.843,1.0,1,1,10.004997253417969
origin-forest_43.843,2.1836616454229434,1726,3769,8.999109268188477
origin-forest_43.843,20.0,20,1,9.998083114624023
origin-forest_43.843,1.5625,48,75,8.99958610534668
origin-forest_43.843,1.0,1,1,8.999109268188477
origin-forest_43.843,2.142857142857143,7,15,9.99903678894043
origin-forest_43.843,55.0,1,55,10.006427764892578
origin-forest_43.843,1.0,1,1,9.232282638549805
origin-forest_43.843,1.0050920485703094,2553,2566,9.385347366333008
origin-forest_43.843,20.0,1,20,8.999824523925781
origin-forest_43.843,1.0,1,1,8.999824523925781
origin-forest_43.843,1.0,1,1,9.00125503540039
origin-forest_43.843,1.8666666666666667,15,28,9.99903678894043
origin-forest_43.843,1.8936170212765957,94,178,9.997844696044922
origin-forest_43.843,19.428571428571427,7,136,9.001016616821289
origin-forest_43.843,1.0,1,1,8.999824523925781
origin-forest_43.843,1.0,1,1,8.998394012451172
origin-forest_43.843,1.0,1,1,8.99958610534668
origin-forest_43.843,1.5732044198895028,1139,724,9.00125503540039
origin-forest_43.843,1.125,9,8,9.998083114624023
origin-forest_43.843,1.0,1,1,10.999202728271484
origin-forest_43.843,1.0,4,4,10.000944137573242
